

Spouge Algorithm


spouge<float>
err = 6.349363e-02
err = 7.145545e-03
err = 9.285597e-04
err = 1.279854e-04
err = 1.821905e-05
err = 2.647008e-06
err = 3.900335e-07
a = 8.000000e+00
c_0 = 2.901419e+03
c_1 = -5.929168e+03
c_2 = 4.148274e+03
c_3 = -1.164760e+03
c_4 = 1.174135e+02
c_5 = -2.786588e+00
c_6 = 3.775392e-03
c_7 = -0.000000e+00

              z         spouge         lgamma          delta
   0.000000e+00   0.000000e+00            inf           -inf
   1.000000e-02   4.599480e+00   4.599480e+00  -4.768372e-07
   2.000000e-02   3.900805e+00   3.900805e+00   4.768372e-07
   3.000000e-02   3.489972e+00   3.489971e+00   9.536743e-07
   4.000000e-02   3.197078e+00   3.197078e+00  -4.768372e-07
   5.000000e-02   2.968879e+00   2.968879e+00  -4.768372e-07
   6.000000e-02   2.781656e+00   2.781656e+00   2.384186e-07
   7.000000e-02   2.622754e+00   2.622754e+00  -2.384186e-07
   8.000000e-02   2.484621e+00   2.484621e+00   4.768372e-07
   9.000000e-02   2.362382e+00   2.362383e+00  -7.152557e-07
   9.999999e-02   2.252713e+00   2.252713e+00   0.000000e+00
   1.100000e-01   2.153236e+00   2.153236e+00  -4.768372e-07
   1.200000e-01   2.062201e+00   2.062200e+00   2.384186e-07
   1.300000e-01   1.978272e+00   1.978273e+00  -2.384186e-07
   1.400000e-01   1.900418e+00   1.900417e+00   3.576279e-07
   1.500000e-01   1.827815e+00   1.827814e+00   8.344650e-07
   1.600000e-01   1.759800e+00   1.759799e+00   9.536743e-07
   1.700000e-01   1.695830e+00   1.695831e+00  -5.960464e-07
   1.800000e-01   1.635461e+00   1.635461e+00   7.152557e-07
   1.900000e-01   1.578311e+00   1.578311e+00   3.576279e-07
   2.000000e-01   1.524064e+00   1.524064e+00   2.384186e-07
   2.100000e-01   1.472446e+00   1.472446e+00   1.192093e-07
   2.200000e-01   1.423224e+00   1.423224e+00   1.192093e-07
   2.300000e-01   1.376194e+00   1.376194e+00   0.000000e+00
   2.400000e-01   1.331179e+00   1.331179e+00  -4.768372e-07
   2.500000e-01   1.288022e+00   1.288023e+00  -4.768372e-07
   2.600000e-01   1.246587e+00   1.246587e+00  -1.192093e-07
   2.700000e-01   1.206750e+00   1.206750e+00   1.192093e-07
   2.800000e-01   1.168404e+00   1.168403e+00   4.768372e-07
   2.900000e-01   1.131449e+00   1.131448e+00   3.576279e-07
   3.000000e-01   1.095798e+00   1.095798e+00  -4.768372e-07
